연번,의료기관명,소재지,운영시간,진료과목,병상수,전화번호,위도,경도
50,베드로내과의원,경상북도 영천시 강변로 44 (금노동),09:00~18:00,내과,0,054-331-5523,35.960321,128.927547
51,박안과의원,경상북도 영천시 시장로 45 (완산동),09:00~18:00,안과,0,054-332-0017,35.963867,128.935116
52,김인환내과의원,경상북도 영천시 완산로 57 (완산동),09:00~18:00,내과,0,054-331-7555,35.965174,128.938635
53,북안동산의원,경상북도 영천시 북안면 못안길 2-87,09:00~18:00,내과,0,054-335-0855,35.915723,129.010433
54,최재성이비인후과의원,경상북도 영천시 완산로 52 (완산동),09:00~18:00,이비인후과,0,054-331-3002,35.964827,128.939207
55,김피부과의원,경상북도 영천시 시장로 55 (완산동),09:00~18:00,피부과,0,054-332-5444,35.963723,128.936278
56,육군3사관학교의원,경상북도 영천시 고경면 호국로 495,09:00~18:00,내과,0,054-330-3486,35.98825,128.990919
57,동산의원,경상북도 영천시 강변로 45 (금노동),09:00~18:00,외과,0,054-336-0074,35.961122,128.927733
58,경북연합의원,경상북도 영천시 금호읍 금호로 82-1,09:00~18:00,외과,0,054-331-7955,35.930653,128.870672
59,김헌수안과의원,경상북도 영천시 시장로 74-1 (완산동),09:00~18:00,안과,0,054-331-8885,35.963328,128.938402
60,파티마내과의원,경상북도 영천시 시장로 70-1 (완산동),09:00~18:00,내과,0,054-331-7147,35.963287,128.937925
61,녹십자의원,경상북도 영천시 호국로 69-4 (야사동),09:00~18:00,외과,0,054-331-7071,35.974197,128.945372
62,이동길내과의원,경상북도 영천시 시장로 59 2층 (완산동),09:00~18:00,내과,0,054-331-3175,35.963657,128.93671
63,서비뇨기과의원,경상북도 영천시 시장로 59 5층 (완산동),09:00~18:00,피부 비뇨기과,0,054-331-2595,35.963657,128.93671
64,강내과의원,경상북도 영천시 시장로 51-1 (완산동),09:00~18:00,내과,0,054-333-3525,35.963617,128.935967
65,신통튼튼의원,"경상북도 영천시 금호읍 금호로 105, 1층",09:00~18:00,내과,0,054-335-5015,35.932265,128.8733
66,온누리조산원,경상북도 영천시 강변로 51 2층 (금노동),09:00~18:00,조산원,2,054-333-9907,35.961252,128.9284
67,영신이치과의원,경상북도 영천시 시장로 27 1층 (금노동),09:00~18:00,치과,0,054-726-2525,35.96345,128.933149
68,새이치과의원,경상북도 영천시 완산로 40 동구빌딩 2-3층 (완산동),09:00~18:00,치과,0,054-331-7528,35.963718,128.939227
69,서울미소치과의원,경상북도 영천시 시장로 53 다솔 (완산동),09:00~18:00,치과,0,054-706-7522,35.963599,128.936033
70,영천 퍼스트 치과의원,경상북도 영천시 언하공단로 88 3층 (망정동),09:00~18:00,치과,0,054-337-2080,35.98625,128.954032
71,스마일 치과의원,경상북도 영천시 호국로 93 (야사동),09:00~18:00,치과,0,054-338-5575,35.975036,128.947478
72,이편한 치과의원,경상북도 영천시 완산로 58 3층 (완산동),09:00~18:00,치과,0,054-337-2875,35.965259,128.939212
73,행복나눔부부치과의원,경상북도 영천시 시장로 62-1 3층 (완산동),09:00~18:00,치과,0,054-333-2275,35.96314,128.937081
74,바른정치과의원,경상북도 영천시 완산로 64 2층 (완산동),09:00~18:00,치과,0,054-337-2754,35.965863,128.939286
75,서울치과의원,경상북도 영천시 시장로 59 4층 (완산동),09:00~18:00,치과,0,054-337-7528,35.963657,128.93671
76,신녕치과의원,경상북도 영천시 신녕면 장수로 1678,09:00~18:00,치과,0,054-332-2833,36.041504,128.788305
77,영신치과의원,경상북도 영천시 시장로 27 2-3층 (금노동),09:00~18:00,치과,0,054-334-2071,35.96345,128.933149
78,윤치과의원,경상북도 영천시 호국로 95 4층 (야사동),09:00~18:00,치과,0,054-332-2875,35.975224,128.947724
79,동산치과의원,경상북도 영천시 동문길 147 4층 (문외동),09:00~18:00,치과,0,054-331-7999,35.971188,128.938251
80,중앙치과의원,경상북도 영천시 강변로 37 (금노동),09:00~18:00,치과,0,054-333-0776,35.961254,128.927003
81,강치과의원,경상북도 영천시 시장로 55 (완산동),09:00~18:00,치과,0,054-331-8085,35.963723,128.936278
82,박문석치과의원,"경상북도 영천시 시장로 58-2, 1층(완산동)",09:00~18:00,치과,0,054-334-6834,35.963235,128.936505
83,YC리더스치과의원,경상북도 영천시 호국로 45 1-3층 (야사동),09:00~18:00,치과,0,054-334-1689,35.973046,128.94273
84,오치과의원,경상북도 영천시 최무선로 297 (창구동),09:00~18:00,치과,0,054-334-2403,35.967506,128.931966
85,참조은박치과의원,경상북도 영천시 완산로 72 3층(완산동),09:00~18:00,치과,0,054-715-1600,35.966537,128.939145
86,신세계치과의원,경상북도 영천시 완산로 46 청통빌딩 4층,09:00~18:00,치과,0,054-335-2787,35.96412179,128.9392366
87,마리플란트치과의원,"경상북도 영천시 호국로 41, 영천농협동부지점 3,4층 (야사동)",09:00~18:00,치과,0,054-335-2875,35.973914,128.942152
88,육군3사관학교치과의원,"경상북도 영천시 고경면 호국로 495, 의무대대",09:00~18:00,치과,0,054-330-3992,35.98825,128.990919
89,고은치과의원,"경상북도 영천시 시장로 96, 고은스퀘어 2층 2003호",09:00~18:00,치과,0,054-334-8800,35.964085,128.940922
90,마디튼튼정형외과의원,"경상부도 영천시 완산로 68, 1층(완산동)",09:00~18:01,정형외과,0,054-332-7588,35.96621764,128.9392959
91,영천이플란트치과의원,"경상북도 영천시 완산로 68, 3층 (완산동)",09:00~18:02,치과,0,054-706-8275,35.96621764,128.9392959
92,영천일침한의원,경상북도 영천시 시장로 58 1층 (완산동),09:00~18:00,한방내과,0,054-337-7588,35.963235,128.936505
93,한의마을한의원,경상북도 영천시 천문로 485 동의참누리원영천한의마을 (화룡동),09:00~18:00,한방내과,0,054-336-1075,35.97745,128.922303
94,다산한의원,경상북도 영천시 역전로 52 1층 (완산동),09:00~18:00,한방내과,0,054-338-8891,35.960344,128.938489
95,기운88한의원,경상북도 영천시 시장로 57-1 (완산동),09:00~18:00,한방내과,0,054-332-7111,35.963703,128.936544
96,바른한의원,경상북도 영천시 호국로 94 2층 (야사동),09:00~18:00,한방내과,0,054-336-5800,35.974683,128.947739
97,포도나무한의원,경상북도 영천시 강변로 44 2층 (금노동),09:00~18:00,한방내과,0,054-335-6996,35.960321,128.927547
98,오천한의원,경상북도 영천시 금호읍 금호로 125,09:00~18:00,한방내과,0,054-337-5337,35.93199,128.87523
99,새경희한의원,경상북도 영천시 시장로 60 (완산동),09:00~18:00,한방내과,0,054-331-1075,35.963107,128.936748
100,본초당한의원,경상북도 영천시 담안4길 29 (금노동),09:00~18:00,한방내과,0,054-331-7588,35.960393,128.929842
101,보현한의원,경상북도 영천시 호국로 73 (야사동),09:00~18:00,한방내과,12,054-336-1216,35.974214,128.945538
102,용한의원,경상북도 영천시 시장로 76-1 (완산동),09:00~18:00,한방내과,0,054-335-8575,35.963236,128.938623
103,척추나한의원,경상북도 영천시 시장로 59 5층 (완산동 진흥빌딩),09:00~18:00,한방내과,0,054-336-1216,35.963657,128.93671
104,누가한의원,경상북도 영천시 완산로 60-6 (완산동),09:00~18:00,한방내과,0,054-333-2010,35.965483,128.939381
105,영천태강한의원,경상북도 영천시 시장로 60 (완산동),09:00~18:00,한방내과,0,054-336-7575,35.963972,128.937058
106,푸른한의원,경상북도 영천시 금호읍 금호로 80 12층,09:00~18:00,한방내과,0,054-333-9638,35.930664,128.870484
107,영천경희한의원,경상북도 영천시 역전로 7-1 (완산동),09:00~18:00,한방내과,0,054-332-4600,35.962977,128.934917
108,신녕한의원,경상북도 영천시 신녕면 본관시장길 14-57,09:00~18:00,한방내과,0,054-336-7774,36.041381,128.787838
109,중앙한의원,경상북도 영천시 시장2길 7 (완산동),09:00~18:00,한방내과,0,053-333-8611,35.963744,128.937099
110,약천한의원,경상북도 영천시 담안1길 9 (금노동),09:00~18:00,한방내과,0,054-333-2040,35.961494,128.927383
111,박철우한의원,경상북도 영천시 완산로 58 (완산동),09:00~18:00,한방내과,0,054-338-1076,35.965259,128.939212
112,대남한의원,경상북도 영천시 완산로 29 (완산동),09:00~18:00,한방내과,0,054-331-7510,35.962704,128.938738
113,영풍한의원,경상북도 영천시 강변로 63 (금노동),09:00~18:00,한방내과,0,054-332-6868,35.961768,128.929282
114,아침을 여는 한의윈,경상북도 영천시 언하공단로 81,09:00~18:00,한방내과,0,054-333-0666,35.9859041,128.9548408
115,소강한의원,경상북도 영천시 완산로 33-1(완산동),09:00~18:00,한방내과,0,054-334-2527,35.963172,128.938744
116,율곡한의원,경상북도 영천시 강변로 69 (금노동),09:00~18:00,한방내과,0,054-337-1192,35.96197,128.929927
117,영신한의원,경상북도 영천시 시장로 31 (금노동),09:00~18:00,한방내과,0,054-334-2549,35.963447,128.933592
118,영동한의원,경상북도 영천시 강변로 65 (금노동),09:00~18:00,한방내과,0,054-332-8398,35.961891,128.929683
119,금호한의원,경상북도 영천시 금호읍 금호로 99,09:00~18:00,한방내과,0,054-332-7239,35.931415,128.872431
120,대구한의원,경상북도 영천시 신녕면 불바위길 4,09:00~18:00,한방내과,0,054-334-9460,36.041196,128.788546
121,대원한의원,경상북도 영천시 강변로 43 (금노동),09:00~18:00,한방내과,0,054-331-4467,35.961159,128.927523
122,영제한의원,경상북도 영천시 강변로 45 (금노동),09:00~18:00,한방내과,0,054-334-3422,35.961122,128.927733
123,경애한의원,경상북도 영천시 강남길 49(완산동),09:00~18:00,한방내과,0,054-338-8871,35.9663376,128.938067
124,신한의원,경상북도 영천시 완산로 67 (완산동),09:00~18:00,한방내과,0,,35.966701,128.939256
